,reportedCity,dateOfLoss,elevatedBuildingIndicator,floodZone,latitude,longitude,lowestFloodElevation,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,yearofLoss,reportedZipcode,id
17350,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,30.0,-95.5,,125400.0,12000.0,2017-01-01T00:00:00.000Z,77068,5e398da174cbd479fc8d9a73
17351,HOUSTON,2017-08-28T00:00:00.000Z,False,AE,29.8,-95.4,67.0,135508.68,21622.39,2017-01-01T00:00:00.000Z,77022,5e398da174cbd479fc8d9a75
17352,HOUSTON,2019-09-19T00:00:00.000Z,False,AE,29.8,-95.4,67.0,0.0,0.0,2019-01-01T00:00:00.000Z,77022,5e398da174cbd479fc8d9a76
17353,HOUSTON,2017-08-27T00:00:00.000Z,True,AE,29.7,-95.5,54.0,21274.54,0.0,2017-01-01T00:00:00.000Z,77081,5e398da174cbd479fc8d9a78
17354,HOUSTON,2015-05-26T00:00:00.000Z,False,C,29.8,-95.5,,140334.6,0.0,2015-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d9aa8
17355,HOUSTON,2016-04-18T00:00:00.000Z,False,X,29.8,-95.5,,71061.35,0.0,2016-01-01T00:00:00.000Z,77024,5e398da174cbd479fc8d9aa9
17356,HOUSTON,2015-05-26T00:00:00.000Z,False,AE,29.7,-95.5,58.0,142367.86,70606.78,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9aab
17357,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.5,58.0,218597.52,100000.0,2017-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9aac
17358,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.6,-95.5,63.0,34645.64,,2017-01-01T00:00:00.000Z,77053,5e398da174cbd479fc8d9aae
17359,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.6,-95.2,,123575.74,33100.0,2017-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d9ab1
17360,HOUSTON,2015-08-27T00:00:00.000Z,False,AE,29.7,-95.4,50.0,0.0,,2015-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d9ab3
17361,HOUSTON,2016-04-18T00:00:00.000Z,False,AE,29.7,-95.4,50.0,12287.57,,2016-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d9ab4
17362,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.4,50.0,38126.08,,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d9ab5
17363,HOUSTON,2017-08-28T00:00:00.000Z,False,AE,29.8,-95.7,109.0,0.0,0.0,2017-01-01T00:00:00.000Z,77084,5e398da174cbd479fc8d9ab7
17364,HOUSTON,2015-05-25T00:00:00.000Z,False,AE,29.7,-95.6,74.0,2262.52,0.0,2015-01-01T00:00:00.000Z,77072,5e398da174cbd479fc8d9ab8
17365,HOUSTON,2017-08-28T00:00:00.000Z,False,X,29.7,-95.7,,0.0,0.0,2017-01-01T00:00:00.000Z,77083,5e398da174cbd479fc8d9ac4
17366,HOUSTON,2012-01-09T00:00:00.000Z,False,AE,29.7,-95.5,,23945.66,,2012-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9af4
17367,HOUSTON,2015-05-26T00:00:00.000Z,False,AE,29.7,-95.5,,187897.29,,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9af5
